Headline,Description,Date,Link
Opinion: Why I’m betting against a US recession,"Consumers are the firewall between recession and a growing economy, and the firewall is holding firm, Mark Zandi writes.","Jun 20, 2023",https://www.cnn.com/2023/06/20/opinions/us-economy-recession-zandi/index.html
China cuts main interest rate as economic recovery fizzles out,"China’s central bank has cut its main benchmark lending rates for the first time in 10 months, in its latest effort to bolster growth as the world’s second largest economy falters.","Jun 20, 2023",https://www.cnn.com/2023/06/20/economy/china-lpr-cut-economy-intl-hnk/index.html
Bull market or fool’s market? Investors say it’s likely the latter,"The stock market has made incredible strides since its downturn last year – so much so, it’s difficult to believe the economy could be on the verge of recession.","Jun 18, 2023",https://www.cnn.com/2023/06/18/business/whats-happening-with-the-market/index.html
Fed officials are pausing to see what they’ve done to the economy. It’s unlikely they’ll learn something new,What the Fed could possibly learn about the economy in six weeks that it doesn’t already know?,"Jun 17, 2023",https://www.cnn.com/2023/06/17/business/fed-pause-economy-data/index.html
US retail sales rose in May,"Spending at US retailers rose last month, in a sign that consumers are still fueling the economy.","Jun 15, 2023",https://www.cnn.com/2023/06/15/economy/us-retail-sales-may/index.html
Company execs used to trumpet their diversity and climate efforts. Now not so much,"Just three years ago, diversity and sustainability were big talking points for executives at many big companies, and ESG funds — investments that evaluate stocks using environmental, social and governance factors — were riding the wave.","Jun 15, 2023",https://www.cnn.com/2023/06/15/investing/premarket-stocks-trading/index.html
China cuts rates again as youth unemployment hits new record high,China trimmed another key interest rate Thursday — the second cut this week — after a series of official data painted a gloomy picture of the post-Covid recovery in the world’s second largest economy.,"Jun 15, 2023",https://www.cnn.com/2023/06/15/economy/china-rate-cut-youth-unemployment-intl-hnk/index.html
TikTok to invest billions of dollars in Southeast Asia amid growing scrutiny over data security,"Short video app TikTok, owned by China’s ByteDance, said on Thursday it would invest billions of dollars in Southeast Asia over the next few years, as it doubles down on the region amid intensifying global scrutiny over its data security.","Jun 15, 2023",https://www.cnn.com/2023/06/15/tech/tiktok-southeast-asia-billion-dollar-investment-intl-hnk/index.html
Growing number of small businesses worry about inflation and the economy’s future,"A greater number of small businesses are worried about inflation and future business conditions, according to a survey released Tuesday by the National Federation of Independent Business.","Jun 13, 2023",https://www.cnn.com/2023/06/13/economy/nfib-small-business-optimism/index.html
China makes surprise rate cut as economic recovery loses steam,China’s central bank on Tuesday made a surprise cut to one of its key lending rates in a bid to shore up sputtering growth in the world’s second largest economy.,"Jun 13, 2023",https://www.cnn.com/2023/06/13/economy/china-surprise-rate-cut-economic-recovery-intl-hnk/index.html
"‘Bumps and pain’ coming for the US economy, says Goldman Sachs CEO","The US economy has been surprisingly resilient this year, but painful bumps are likely coming, said Goldman Sachs CEO David Solomon in an interview with CNBC on Monday morning.","Jun 12, 2023",https://www.cnn.com/2023/06/12/investing/solomon-goldman-economy/index.html
The AI boom is here. Is it too late to invest?,"Wall Street has a lot to worry about – recession and war in Europe, interest rate hikes, sticky inflation, and a softening US economy. But there’s at least one sector of market euphoria keeping investors optimistic: artificial intelligence.","Jun 12, 2023",https://www.cnn.com/2023/06/12/investing/premarket-stocks-trading/index.html
Manufacturing is sputtering in the world’s largest economies,Manufacturers around the world are contending with weakening demand as the economic outlook for the industry darkens.,"Jun 12, 2023",https://www.cnn.com/2023/06/11/economy/global-manufacturing-sputtering-economies/index.html
How can we possibly be in a bull market right now? Two letters: AI,"The Eurozone has sunk into recession and economists worry that the United States is next. We’re worrying about rate hikes, inflation, lower spending, layoffs, surging mortgage costs and a war in Europe. So what explains a bull market in a bear ...","Jun 09, 2023",https://www.cnn.com/2023/06/09/investing/bull-market-artificial-intelligence/index.html
America has lost half its public companies since the 1990s. Here’s why,"The S&P 500 officially entered a bull market on Thursday, gaining 20% off of its October lows. But those gains came from just a few tech and AI companies with mega-cap stocks soaring higher. Cyclical and smaller companies are still largely ...","Jun 09, 2023",https://www.cnn.com/2023/06/09/investing/premarket-stocks-trading/index.html
People in China are so worried about the economy they’re asking for divine intervention,"China’s post-Covid reopening was supposed to be the stimulant that the world needed. But after an early burst of activity, growth in the world’s second largest economy appears to be stalling.","Jun 09, 2023",https://www.cnn.com/2023/06/09/economy/china-unemployment-temple-lottery-intl-hnk/index.html
It’s official. We’re in a bull market,Wall Street is feeling bullish again.,"Jun 09, 2023",https://www.cnn.com/2023/06/08/investing/bull-market-story/index.html
‘Labor hoarding’ is gaining steam as businesses brace for a recession,US companies wary about their economic prospects are battening down the hatches.,"Jun 08, 2023",https://www.cnn.com/2023/06/08/economy/labor-hoarding-economy/index.html
US stocks are in the firing line if China’s economy stalls further,Chinese economic activity has hit a soft spot in recent weeks and Hong Kong’s equity markets have flirted with bear territory as a result.,"Jun 08, 2023",https://www.cnn.com/2023/06/08/investing/premarket-stocks-trading/index.html
Eurozone slips into recession as revised data shows two quarters of falling output,"The 20 countries that use the euro fell into a mild recession around the turn of the year, as high inflation discouraged consumer spending and governments tightened the purse strings.","Jun 08, 2023",https://www.cnn.com/2023/06/08/economy/eurozone-recession/index.html
"They said we were getting a recession. Instead, we’re getting a bull market","What do you get when you mix recession fears, interest rate hikes, a spending slowdown and a housing crunch? A recipe for a bull market, apparently.","Jun 07, 2023",https://www.cnn.com/2023/06/07/investing/premarket-stocks-trading/index.html
China’s exports tumble in May as global demand falters,"China’s exports shrank much faster than expected in May and imports fell, albeit at a slower pace, as manufacturers struggled to find demand abroad and domestic consumption remained sluggish.","Jun 07, 2023",https://www.cnn.com/2023/06/07/economy/china-trade-may-exports-hnk-intl/index.html
US venture capital titan Sequoia to split off China business amid tension with Beijing,"Venture capital titan Sequoia is splitting its business into three independent partnerships, each with separate brands.","Jun 06, 2023",https://www.cnn.com/2023/06/06/business/sequoia-split-partnerships-china/index.html
People are spending more on groceries. But they’re buying less,The past few months of robust grocery store sales would suggest that shoppers aren’t stretched for cash. But that’s not the full story.,"Jun 06, 2023",https://www.cnn.com/2023/06/06/business/grocery-sales-prices/index.html
Airlines expect to make $10 billion this year despite economic slowdown,"Global airlines should make nearly $10 billion in profit this year as business bounces back from the pandemic, according to a new forecast from the International Air Transport Association (IATA).","Jun 05, 2023",https://www.cnn.com/2023/06/05/business/iata-airlines-profits-post-pandemic/index.html
"The US economy added 339,000 jobs last month, soaring past expectations — again",The US labor market isn’t ready to slow down just yet.,"Jun 02, 2023",https://www.cnn.com/2023/06/02/economy/may-jobs-report-final/index.html
The uber-wealthy are doing just fine and Wall Street is cashing in,"Worries of a possible global recession are deepening as heightened inflation and interest rates act as a brake on spending, while geopolitical strife adds to a sense of profound economic uncertainty.","Jun 02, 2023",https://www.cnn.com/2023/06/02/investing/premarket-stocks-trading/index.html
"Dollar General’s cash-strapped customers are turning to food banks, CEO says",Dollar General’s stock just had one of its worst days ever on Wall Street. And that spells trouble for Main Street.,"Jun 02, 2023",https://www.cnn.com/2023/06/01/business/nightcap-dollar-general-economy/index.html
Macy’s and Costco sound a warning about the economy,"Macy’s, Costco and other big chains say shoppers are pulling back at their stores and changing what they buy. That could be a red flag for the US economy.","Jun 01, 2023",https://www.cnn.com/2023/06/01/investing/macys-earnings-costco/index.html
"Employers are preparing for a recession, but that doesn’t always mean layoffs",Areas of the US economy have started to crack under the weight of persistently high inflation and a string of 10 consecutive rate hikes from the Federal Reserve.,"Jun 01, 2023",https://www.cnn.com/2023/06/01/economy/may-jobs-report-preview/index.html
The global economy has likely been spared a US debt default. It still faces a mountain of risks,"With the threat of an unprecedented US debt crisis receding fast, the global economy looks to have dodged a huge shock. But there are still plenty of storm clouds darkening the outlook.","Jun 01, 2023",https://www.cnn.com/2023/06/01/economy/global-economy-outlook-recession/index.html
"China’s small and medium-sized factories post surprise growth, easing market anxiety","A key gauge of China’s small- and medium-sized factories showed their surprise return to expansion last month, which eased market anxiety about growth stalling in the world’s second largest economy.","Jun 01, 2023",https://www.cnn.com/2023/06/01/economy/china-caixin-pmi-may-intl-hnk/index.html
Marlboro as an ESG investment? CEO tells FT that’s his goal,Big Tobacco is reportedly positioning itself as a socially conscious investment.,"May 31, 2023",https://www.cnn.com/2023/05/31/business/philip-morris-esg-stock/index.html
"From Elon Musk to Jamie Dimon, CEOs flock to China as risks to trade and investment rise",The CEOs of some of America’s biggest companies are in China this week to take the pulse of one of their top markets after the country reopened following nearly three years of pandemic restrictions.,"May 31, 2023",https://www.cnn.com/2023/05/31/business/elon-musk-china-ceos-visit-intl-hnk/index.html
The banking crisis has gone quiet but it isn’t over,"Amid the US debt ceiling turmoil, a potential recession and the upcoming Fed meeting, Wall Street has a lot on its plate. Given the circumstances, it is understandable that investors may need to prioritize which emergency to address ...","May 31, 2023",https://www.cnn.com/2023/05/31/investing/premarket-stocks-trading/index.html
China’s economic recovery loses steam as factory production contracts further,"Factory activity in China has slumped to its weakest level since the country ended its zero-Covid policy in December, as its economic recovery continues to lose steam.","May 31, 2023",https://www.cnn.com/2023/05/30/economy/china-pmi-economy-intl-hnk/index.html
Metals-rich Indonesia’s IPO market is so red-hot it’s thrashing Hong Kong and India,"One of the hottest IPO markets this year is not in a country brimming with global tech giants, nor does it rank among the top 10 global economies by size.","May 29, 2023",https://www.cnn.com/2023/05/28/business/indonesia-ipo-market-boom/index.html
The US economy grew faster in the first quarter than previously reported,"US economic growth in the first three months of the year was faster than previously estimated, the Commerce Department reported on Thursday.","May 25, 2023",https://www.cnn.com/2023/05/25/business/q1-gdp-second-estimate/index.html
"Why retail theft is soaring: inflation, the economy – and opportunity",Retailers large and small say they’re struggling to contain an escalation in store crimes — petty shoplifting to organized sprees of large-scale theft that clear entire shelves of products.,"May 23, 2023",https://www.cnn.com/2023/05/23/business/retail-crime-economy/index.html
IMF no longer expects UK recession this year,"The United Kingdom will no longer top the ranks of worst performing rich economies this year, according to the International Monetary Fund (IMF), which announced a major revision Tuesday to its previous gloomy forecast.","May 23, 2023",https://www.cnn.com/2023/05/23/economy/uk-economy-imf/index.html
Jamie Dimon warns of a commercial real estate downturn,Economists are concerned about the $20 trillion commercial real estate (CRE) industry and so is JPMorgan Chase CEO Jamie Dimon.,"May 23, 2023",https://www.cnn.com/2023/05/23/investing/premarket-stocks-trading/index.html
Africa’s richest man launches $20 billion refinery to revive Nigeria’s oil industry,Nigeria on Monday commissioned the Dangote oil refinery — considered a ‘game-changer’ in ending the country’s fuel imports.,"May 23, 2023",https://www.cnn.com/2023/05/22/business/nigeria-commissions-dangote-refinery-intl-lgs/index.html
Debt ceiling woes could kill dealmaking on Wall Street,"Mergers and acquisitions are Wall Street’s bread and butter. When companies combine, or one company buys another, it creates opportunities for investors and banks to make money by providing advice or finance for the transaction.","May 22, 2023",https://www.cnn.com/2023/05/22/investing/premarket-stocks-trading/index.html
"Economists: US can weather ongoing crises, but recession remains on the table","US business economists are optimistic that the banking and debt ceiling turmoil won’t turn into full-blown crises; however, a majority of them also believe a recession is still in the cards — although likely starting later than previously thought, according to a ...","May 22, 2023",https://www.cnn.com/2023/05/22/economy/nabe-economists-survey-may/index.html
Apple got rich in China. Other Asian markets offer the next ‘golden opportunity’,"Apple launched an online store in Vietnam this week, in another nod to the growing importance of emerging markets for the iPhone maker.","May 20, 2023",https://www.cnn.com/2023/05/19/tech/apple-southeast-asia-india-opportunity-intl-hnk/index.html
Turkey’s big economic gamble looks set to continue,"Turkey’s President Recep Tayyip Erdogan still believes he’s right, and most of the rest of the world is wrong, when it comes to fighting inflation.","May 19, 2023",https://www.cnn.com/2023/05/19/investing/premarket-stocks-trading/index.html
China’s economy is growing again. So why are investors getting out?,"Until a few weeks ago, Chinese shares were among the best-performing in the world over the previous six months as investors bet on the country’s economic recovery after the lifting of pandemic restrictions.","May 19, 2023",https://www.cnn.com/2023/05/19/investing/china-stock-market-decline-intl-hnk/index.html
Xi Jinping says no to ‘street stall economy’ in Beijing,"Chinese President Xi Jinping has opposed the lifting of curbs on street vendors in Beijing, signaling splits within government over a policy shift aimed at tackling rising unemployment.","May 18, 2023",https://www.cnn.com/2023/05/18/economy/china-xi-jinping-street-stalls-beijing-intl-hnk/index.html
Inflation-weary shoppers flock to Walmart,Inflation-fatigued shoppers are heading to Walmart for groceries while they’re pulling back on nonessential purchases at other chains.,"May 18, 2023",https://www.cnn.com/2023/05/18/investing/walmart-earnings-stock/index.html
Investors shouldn’t ignore this recession indicator,"New data this week shows that US consumers are starting to scale back spending, the largest retailers are warning of trouble ahead, bank accounts are dwindling and debt is growing.","May 18, 2023",https://www.cnn.com/2023/05/18/investing/premarket-stocks-trading/index.html
12 psychological tricks of the supermarket trade,,"May 17, 2023",https://www.cnn.com/wbd/12-psychological-tricks-of-the-supermarket-trade/index.html
Regional bank stocks soar after Western Alliance says deposits are growing,Regional bank stocks surged on Wednesday after Western Alliance reported that customer deposits are growing.,"May 17, 2023",https://www.cnn.com/2023/05/17/business/bank-stocks-western/index.html
Retail spending rebounded in April,"Spending at US retailers rose in April following two months of declines, showing the US consumer is still fueling the economy.","May 16, 2023",https://www.cnn.com/2023/05/16/business/retail-sales-april/index.html
A barbecue frenzy is gripping China. Can street food revive the economy?,"When China was in the midst of a pandemic-induced economic slump in 2020, then Premier Li Keqiang touted the idea of creating jobs by encouraging street vendors to set up shop across the country. That pitch was quickly shot down by close ...","May 16, 2023",https://www.cnn.com/2023/05/15/economy/china-zibo-bbq-economy-intl-hnk/index.html
"Americans are setting vacation records and splurging at bars, restaurants and hotels","Many economists are predicting a recession later in the year, but one of the industries hurt most in the pandemic is bouncing back to pre-Covid levels.","May 15, 2023",https://www.cnn.com/2023/05/15/economy/leisure-spending-strong-hospitality/index.html
European Union upgrades outlook for economy as energy prices retreat,"Questions swirl about the strength of China’s recovery from Covid lockdowns, and there’s talk of recession in the United States. Yet Europe’s economic prospects have brightened in recent months, according to the European Commission.","May 15, 2023",https://www.cnn.com/2023/05/15/economy/europe-economy-upgrade/index.html
Why America needs regional banks,"To some, the question of where to keep your money safe might seem obvious — go with one of the big guys, the banks that have been deemed “too big to fail.” Their ATMs and branches are ubiquitous, their mobile apps sleek and user-friendly.","May 14, 2023",https://www.cnn.com/2023/05/14/business/regional-banks-analysis/index.html
Callout: Seeking small business owners to share experiences on changing lending conditions,"Financial institutions were already tightening their lending standards at the beginning of the year, and that has intensified since a trio of bank failures upended the banking industry, surveys from the Federal Reserve and the private sector show. Money is ...","May 13, 2023",https://www.cnn.com/2023/05/12/economy/small-business-lending-callout/index.html
Pakistan’s political crisis will deepen its economic misery,The political unrest that’s engulfed Pakistan since former Prime Minister Imran Khan was arrested earlier this week will complicate efforts to secure a financial lifeline from the International Monetary Fund and exacerbate the country’s economic crisis.,"May 12, 2023",https://www.cnn.com/2023/05/12/economy/pakistan-political-crisis-economy-default/index.html
UK economy limps along as high inflation hits spending,The United Kingdom’s economy limped along in the first quarter of this year as consumers spent less on services and strike action took its toll.,"May 12, 2023",https://www.cnn.com/2023/05/12/economy/uk-economy-q1-gdp-growth/index.html
How to shop for groceries when everything is more expensive,Feeling the squeeze at checkout? You’re not alone. Even staples aren’t immune to inflation: the consumer price index for a dozen eggs is currently around $1.46 — compare that to $1.01 in 2021 and $1.00 in 2020 (only a penny less!). And it’s not ...,"May 11, 2023",https://www.cnn.com/wbd/how-to-shop-for-groceries-when-everything-is-more-expensive/index.html
GM Envolve takes direct aim at Ford’s fleet business,"With a new business unit introduced Wednesday, General Motors is taking direct aim at Ford Motor Co.’s lucrative fleet business. GM Envolve will work closely with large business and government fleet customers to tie them more closely to GM’s other ...","May 11, 2023",https://www.cnn.com/2023/05/11/business/gm-fleet-business/index.html
China names head of powerful new financial regulator as industry faces greater scrutiny,"China has appointed the head of its powerful new financial watchdog, which was created as part of sweeping reforms aimed at reining in the $60 trillion industry.","May 11, 2023",https://www.cnn.com/2023/05/11/economy/china-nfra-new-chief-intl-hnk/index.html
Global companies warn of slower-than-expected recovery in China,China’s first few months of reopening to the world hasn’t gone as planned for global businesses.,"May 11, 2023",https://www.cnn.com/2023/05/11/business/china-recovery-companies-earnings-warnings-intl-hnk/index.html
Why bank stocks are so unstable,The financial sector has been churning in rough water since the shocking collapse of Silicon Valley Bank in March.,"May 09, 2023",https://www.cnn.com/2023/05/09/investing/premarket-stocks-trading/index.html
"China’s shrinking imports, slower exports growth darken economic outlook","China’s imports contracted sharply in April, while exports rose at a slower pace, reinforcing signs of feeble domestic demand despite the lifting of Covid curbs and heaping pressure on an economy already struggling in the face of cooling global ...","May 09, 2023",https://www.cnn.com/2023/05/09/economy/china-trade-april-hnk-intl/index.html
‘Something’s about to break’: Why Wall Street is still freaking out about banks,A summary of where things stand in the banking crisis:,"May 04, 2023",https://www.cnn.com/2023/05/04/business/nightcap-banking-crisis-wall-street-analysis/index.html
Volkswagen’s EV sales surge 42% despite slump in China,"Volkswagen says it won’t cut prices to hold onto market share in China, where sales of its electric vehicles plunged in the first quarter amid intensifying competition.","May 04, 2023",https://www.cnn.com/2023/05/04/cars/volkswagen-electric-vehicle-sales-china/index.html
Another economic indicator: Sales of the ‘Recession Special’ are up at this New York City hot dog joint,"There’s good news on the inflation front: Annual price growth fell to its lowest pace in nearly two years, the Commerce Department reported Friday.","May 03, 2023",https://www.cnn.com/2023/05/03/economy/consumer-spending-retrenching-recession/index.html
"Beer, bunting and biscuit tins: What the coronation means for the UK economy","Britain’s pubs, restaurants and retailers are gearing up for a roaring trade from celebrations surrounding the coronation of King Charles III. But while many businesses anticipate a welcome lift to sales, the UK economy could suffer as the workforce ...","May 03, 2023",https://www.cnn.com/2023/05/03/business/king-charles-coronation-uk-economy/index.html
Uber’s revenue climbs 29% as it continues to defy tech slump,"Uber on Tuesday reported revenue of $8.8 billion for the quarter ending in March, a 29% increase from the same period last year and beating Wall Street’s estimates.","May 02, 2023",https://www.cnn.com/2023/05/02/tech/uber-earnings/index.html
BP shares slide as first-quarter profit dips,Shares of BP fell more than 5% Tuesday after the energy giant said it would return less cash to investors following a drop in first-quarter profit.,"May 02, 2023",https://www.cnn.com/2023/05/02/investing/bp-q1-profits-shares-climate-targets/index.html
Why a US recession is probably coming,Want to know what the future holds for the US economy? You’ll have to consult your crystal ball.,"May 02, 2023",https://www.cnn.com/2023/05/02/investing/premarket-stocks-trading/index.html
HSBC says profits triple as it announces share buyback,"HSBC announced it had tripled its quarterly profit Tuesday, blowing past expectations as it benefited from high interest rates around the world.","May 02, 2023",https://www.cnn.com/2023/05/02/investing/hsbc-q1-earnings-surpass-expectations-intl-hnk/index.html
White House banking headache won’t end with First Republic deal,A new joint effort by the government and the finance industry to prevent another teetering bank from triggering a wider crisis is underscoring US and international worries about the sector and producing another no-win political headache for the ...,"May 02, 2023",https://www.cnn.com/2023/05/01/politics/biden-economy-first-republic-bank/index.html
Forget the pension protests. France’s economy has momentum,Attacks on the Paris offices of multi-billion dollar corporations earlier this month by protesters angry about pension reforms may have tarnished France’s image as a place to do business.,"May 01, 2023",https://www.cnn.com/2023/04/30/economy/france-economy-pension-reform-protests/index.html
Chobani CEO says he won’t be captive to profit demands,"The founder and CEO of Chobani, a company that quickly captured more than 20% of the US yogurt market, has a clear mission: He wants to prove that capitalism and humanitarianism feed off of each other.","May 01, 2023",https://www.cnn.com/2023/05/01/investing/premarket-stocks-trading/index.html
Confused about the First Republic Bank mess? Here’s how to speak Wall Street,"Wall Street can seem bewildering, given its sheer amount of jargon, banking terms, and acronyms.","May 01, 2023",https://www.cnn.com/2023/03/18/investing/wall-street-terms-jargon-glossary/index.html
US Chamber of Commerce warns of major increase in risks for businesses in China,The United States Chamber of Commerce has warned that rising scrutiny of American firms in China “dramatically increases” the uncertainties and risks of doing business in the country.,"May 01, 2023",https://www.cnn.com/2023/05/01/business/us-china-chamber-commerce-warning-intl-hnk/index.html
Why everyone in business loves India right now,"When Tim Cook arrived in India earlier this month to open Apple’s first physical store in the country, he was welcomed like a hero.","May 01, 2023",https://www.cnn.com/2023/04/29/business/india-economy-global-businesses-investment-intl-hnk/index.html
One in 5 young people in Chinese cities are out of work. Beijing wants them to work in the fields,"As the jobless rate among China’s youth soars, the country’s richest province has offered a highly controversial solution: Send 300,000 unemployed young people to the countryside for two to three years to find work.","May 01, 2023",https://www.cnn.com/2023/04/30/economy/china-youth-unemployment-intl-hnk/index.html
China factory activity unexpectedly cools in April,"China’s manufacturing activity unexpectedly shrank in April, official data showed on Sunday, raising pressure on policymakers seeking to boost an economy struggling for a post-Covid lift-off amid subdued global demand and persistent property weakness.","May 01, 2023",https://www.cnn.com/2023/04/30/economy/china-pmi-april-intl-hnk/index.html
"14 million jobs worldwide will vanish in the next 5 years, new economic report finds",Huge disruptions will rock the global job market over the next five years as the economy weakens and companies boost adoption of technologies such as artificial intelligence.,"May 01, 2023",https://www.cnn.com/2023/04/30/business/automation-jobs-world-economic-forum/index.html
Europe’s economy ticks up in the first quarter but worries linger,"Europe’s economy avoided a recession over the winter, picking up pace slightly in the first quarter of 2023 despite Russia’s war in Ukraine and sizable interest rate hikes aimed at fighting inflation.","Apr 28, 2023",https://www.cnn.com/2023/04/28/economy/europe-gdp/index.html
ESG investing is dying. That’s not a bad thing,"Environmental, social, and governance-focused funds, which were once deemed the darlings of Wall Street, may be on the way out.","Apr 28, 2023",https://www.cnn.com/2023/04/28/investing/premarket-stocks-trading/index.html
Amazon posts $3.2 billion profit as it goes through multiple rounds of layoffs,Amazon is starting the year back in the black.,"Apr 28, 2023",https://www.cnn.com/2023/04/27/tech/amazon-earnings/index.html
The US economy grew at a much slower pace in the first quarter,"US economic growth slowed to an annualized and seasonally adjusted rate of 1.1% in the first quarter of this year, as businesses rebalanced their inventories and pulled back on spending amid punishing rate hikes from the Federal Reserve.","Apr 27, 2023",https://www.cnn.com/2023/04/27/economy/q1-us-gdp-economy/index.html
Europe’s top real estate sector hit as office sales plummet,"European commercial real estate investment fell to its lowest in 11 years in the first quarter of 2023, MSCI Real Assets said on Thursday, as investors spooked by higher interest rates and the economic outlook put acquisition plans on ice.","Apr 27, 2023",https://www.cnn.com/2023/04/27/business-planning/european-office-sales-lowest-on-record/index.html
Samsung profits plunge 95%,"Samsung Electronics flagged a gradual recovery for chips in the second half of the year after its semiconductor business reported a record loss on Thursday, driven by weak demand for tech devices.","Apr 27, 2023",https://www.cnn.com/2023/04/26/tech/south-korea-samsung-q1-profits-plunge-intl-hnk/index.html
UPS flashes a warning sign about the US economy,UPS says the US economy is slowing down.,"Apr 25, 2023",https://www.cnn.com/2023/04/25/business/ups-earnings-us-economy-slowdown/index.html
The banking crisis may have set the stage for an IPO comeback,"Warnings of recession are widespread, inflation is still elevated and so are interest rates. Russia continues to wage war in Ukraine and markets are whipsawing around as investors try to make sense of it all. In short: The global macroeconomic picture ...","Apr 25, 2023",https://www.cnn.com/2023/04/25/investing/premarket-stocks-trading/index.html
China has an inflation problem. It’s way too low,"As much of the world fights desperately to bring down soaring prices that are slashing living standards, China is trying to do the opposite.","Apr 25, 2023",https://www.cnn.com/2023/04/24/economy/china-deflation-economy-intl-hnk/index.html
Is Big Oil running out of gas?,"Oil and gas stocks have been on a two-year tear, ripping ahead as natural gas prices surged due to supply chain kinks, a strong economy, and Russia’s invasion of Ukraine. Fears of a recession are now slamming on the brakes.","Apr 21, 2023",https://www.cnn.com/2023/04/21/investing/premarket-stocks-trading/index.html
Blackstone is the latest victim of the weakening commercial real estate market,"The ongoing commercial real estate slowdown has a new victim: Blackstone, the largest owner of commercial real estate globally. The company saw its distributable earnings — the profit distributed to shareholders after expenses — plunge 36% ...","Apr 21, 2023",https://www.cnn.com/2023/04/20/investing/blackstone-earnings-cre/index.html
The world’s biggest banks are still pouring money into fossil fuels,"Banks have pledged to go green, but last year they poured billions of dollars into expanding the capacity of fossil fuel production despite the accelerating climate crisis.","Apr 20, 2023",https://www.cnn.com/2023/04/20/investing/premarket-stocks-trading/index.html
The earnings recession is here. There could be worse to come,"Earnings reports are coming thick and fast, showing how companies fared in the first few months of the year. But analysts and investors are far more interested in what the future holds. As the saying goes, past performance is no guarantee of future results, ...","Apr 19, 2023",https://www.cnn.com/2023/04/19/investing/premarket-stocks-trading/index.html
"Jobs are strong, inflation is cooling — yet recession worries remain",The post-pandemic US economy has tortured economists and defied expectations.,"Apr 18, 2023",https://www.cnn.com/2023/04/18/economy/us-economy-jobs-inflation-recession/index.html
China’s economy shakes off Covid legacy to grow 4.5% in Q1,"China’s economy got off to a solid start in 2023, as consumers went on a spending spree after three years of strict pandemic restrictions ended.","Apr 18, 2023",https://www.cnn.com/2023/04/17/economy/china-gdp-q1-2023-intl-hnk/index.html
JPMorgan steals the show as banks lift curtain on earnings,First quarter earnings season kicked off last week with reports from some of the largest names in finance with investors watching closely for any potential inklings of an economic downturn.,"Apr 17, 2023",https://www.cnn.com/2023/04/17/investing/premarket-stocks-trading/index.html
China resorts to unusual measures to restore confidence among entrepreneurs. But it’s not working,"After years of regulatory crackdowns and draconian Covid curbs, private entrepreneurs in China are low on enthusiasm. The Chinese government is resorting to surprising measures to restore their confidence, but the campaign has inspired ...","Apr 17, 2023",https://www.cnn.com/2023/04/17/economy/china-hainan-private-entrepreneurs-deep-retreat-intl-hnk/index.html
What Walmart’s pullback from Chicago says about Corporate America’s limits,"A line of Chicago mayors heavily courted Walmart over the last two decades, brushing aside community protests. And Walmart welcomed the opportunity to show cities it could be a strong corporate partner.","Apr 16, 2023",https://www.cnn.com/2023/04/15/business/walmart-chicago-closing-corporate-america/index.html
Yellen on how the US can bring down inflation while maintaining a strong job market,"Last month’s upheaval within the banking sector hasn’t pushed America off course from achieving a soft landing, Treasury Secretary Janet Yellen told CNN’s Fareed Zakaria in an exclusive interview Friday.","Apr 16, 2023",https://www.cnn.com/2023/04/15/economy/yellen-zakaria-economy-weekend/index.html
Retail spending fell in March as consumers pull back,Spending at US retailers fell in March as consumers pulled back after the banking crisis fueled recession fears.,"Apr 14, 2023",https://www.cnn.com/2023/04/14/economy/march-retail-sales/index.html
The American consumer has bad news for the economy,"The strength of the US economy rests on the shoulders of consumers. If people are spending money, companies keep employees in their jobs … and those workers keep spending. In theory, anyway.","Apr 14, 2023",https://www.cnn.com/2023/04/14/business/premarket-stocks-trading/index.html
Silicon Valley Bank collapse renews calls to address disparities impacting entrepreneurs of color,"When customers at Silicon Valley Bank rushed to withdraw billions of dollars last month, venture capitalist Arlan Hamilton stepped in to help some of the founders of color who panicked about losing access to payroll funds.","Apr 14, 2023",https://www.cnn.com/2023/04/13/business/silicon-valley-bank-entrepreneurs-of-color-reaj/index.html
Main Street investors bet on comeback for regional banks,"Banking crisis be damned – Main Street investors are barreling into embattled bank stocks. It turns out nothing tempts people to bet on an industry more than bargain prices, even if they’re caused by the fear of imminent collapse.","Apr 12, 2023",https://www.cnn.com/2023/04/12/investing/premarket-stocks-trading/index.html
IMF: Banking crisis boosts risks and dims outlook for world economy,"At the start of the year, economists and corporate leaders expressed optimism that global economic growth might not slow down as much as they had feared. Positive developments included China’s reopening, signs of resilience in Europe and falling ...","Apr 11, 2023",https://www.cnn.com/2023/04/11/business/imf-world-economic-outlook/index.html
What markets are watching after digesting the US jobs data,"In an unusual coincidence, the US jobs report was released on a holiday Friday — meaning stock markets were closed when the closely-watched economic data came out.","Apr 10, 2023",https://www.cnn.com/2023/04/10/investing/premarket-stocks-trading/index.html
American offices are half-empty. That could be the next big risk for banks,"From Dallas and Minneapolis to New York and Los Angeles, offices sit vacant or underused, showing the staying power of the work-from-home era. But clear desks and quiet break rooms aren’t just a headache for bosses eager to gather teams in ...","Apr 10, 2023",https://www.cnn.com/2023/04/10/business/commercial-real-estate-banks-offices/index.html
Xi Jinping wanted China to be a global soccer power. What went wrong?,It was a Chinese dream driven by the same sort of ambition that has seen this country rise from poverty to the world’s second-largest economy in the space of just a few decades.,"Apr 08, 2023",https://www.cnn.com/2023/04/07/china/xi-jinping-china-football-dream-fail-intl-hnk-dst/index.html
